Algorithm,Function,Instance,Dimension,ERT,min_ERT,RELERT
BIPOP-CMA-ES,1,1,2,183.92857142857142,57.5,3.198757763975155
BIPOP-CMA-ES,1,1,3,257.2857142857143,72.66666666666667,3.540629095674967
BIPOP-CMA-ES,1,1,5,551.3529411764706,76.66666666666667,7.19156010230179
BIPOP-CMA-ES,1,1,10,1231.0,104.0,11.836538461538462
BIPOP-CMA-ES,1,2,2,194.8125,57.5,3.3880434782608697
BIPOP-CMA-ES,1,2,3,282.93333333333334,72.66666666666667,3.893577981651376
BIPOP-CMA-ES,1,2,5,584.7727272727273,76.66666666666667,7.627470355731225
BIPOP-CMA-ES,1,2,10,1170.7857142857142,104.0,11.257554945054945
BIPOP-CMA-ES,1,3,2,189.33333333333334,57.5,3.292753623188406
BIPOP-CMA-ES,1,3,3,282.53333333333336,72.66666666666667,3.888073394495413
BIPOP-CMA-ES,1,3,5,469.7391304347826,76.66666666666667,6.12703213610586
BIPOP-CMA-ES,1,3,10,1101.875,104.0,10.594951923076923
BIPOP-CMA-ES,1,4,2,194.125,57.5,3.376086956521739
BIPOP-CMA-ES,1,4,3,318.1578947368421,72.66666666666667,4.3783196523418635
BIPOP-CMA-ES,1,4,5,528.4545454545455,76.66666666666667,6.892885375494071
BIPOP-CMA-ES,1,4,10,1325.8620689655172,104.0,12.74867374005305
BIPOP-CMA-ES,1,5,2,219.28571428571428,57.5,3.813664596273292
BIPOP-CMA-ES,1,5,3,495.9230769230769,72.66666666666667,6.824629498941425
BIPOP-CMA-ES,1,5,5,672.0,76.66666666666667,8.765217391304347
BIPOP-CMA-ES,1,5,10,1119.5925925925926,104.0,10.765313390313391
BIPOP-CMA-ES,2,1,2,889.9333333333333,109.11111111111111,8.15621181262729
BIPOP-CMA-ES,2,1,3,1592.3333333333333,162.6875,9.787680881034703
BIPOP-CMA-ES,2,1,5,2784.9615384615386,209.21428571428572,13.31152664338052
BIPOP-CMA-ES,2,1,10,8997.576923076924,524.5384615384615,17.153321601407832
BIPOP-CMA-ES,2,2,2,572.625,109.11111111111111,5.248090631364562
BIPOP-CMA-ES,2,2,3,1612.45,162.6875,9.911333077218595
BIPOP-CMA-ES,2,2,5,2967.315789473684,209.21428571428572,14.183141363138128
BIPOP-CMA-ES,2,2,10,9040.483870967742,524.5384615384615,17.235121032787895
BIPOP-CMA-ES,2,3,2,668.2857142857143,109.11111111111111,6.124818155368054
BIPOP-CMA-ES,2,3,3,1617.5294117647059,162.6875,9.942554970509141
BIPOP-CMA-ES,2,3,5,3010.08,209.21428571428572,14.387545237282348
BIPOP-CMA-ES,2,3,10,10005.846153846154,524.5384615384615,19.075524270420882
BIPOP-CMA-ES,2,4,2,761.2307692307693,109.11111111111111,6.976656744477519
BIPOP-CMA-ES,2,4,3,1914.5,162.6875,11.767960046100653
BIPOP-CMA-ES,2,4,5,3765.8333333333335,209.21428571428572,17.999886195516105
BIPOP-CMA-ES,2,4,10,9487.51724137931,524.5384615384615,18.087362390076407
BIPOP-CMA-ES,2,5,2,862.3076923076923,109.11111111111111,7.903023656587811
BIPOP-CMA-ES,2,5,3,1666.5333333333333,162.6875,10.243770008964015
BIPOP-CMA-ES,2,5,5,3096.576923076923,209.21428571428572,14.800982220237938
BIPOP-CMA-ES,2,5,10,8486.3,524.5384615384615,16.178603900865227
BIPOP-CMA-ES,3,1,2,513.8888888888889,233.5,2.2008089459909588
BIPOP-CMA-ES,3,1,3,12900.421052631578,413.0769230769231,31.23006958737626
BIPOP-CMA-ES,3,1,5,97686.0,734.4285714285714,133.00953121960708
BIPOP-CMA-ES,3,1,10,inf,1869.25,1000000.0
BIPOP-CMA-ES,3,2,2,3277.9,233.5,14.03811563169165
BIPOP-CMA-ES,3,2,3,2548.6923076923076,413.0769230769231,6.170018621973929
BIPOP-CMA-ES,3,2,5,370286.8695652174,734.4285714285714,504.1836387777712
BIPOP-CMA-ES,3,2,10,213513.76666666666,1869.25,114.22429673220097
BIPOP-CMA-ES,3,3,2,5711.75,233.5,24.461456102783725
BIPOP-CMA-ES,3,3,3,10578.833333333334,413.0769230769231,25.60983860955928
BIPOP-CMA-ES,3,3,5,144211.0,734.4285714285714,196.35810153666603
BIPOP-CMA-ES,3,3,10,inf,1869.25,1000000.0
BIPOP-CMA-ES,3,4,2,2997.5,233.5,12.837259100642399
BIPOP-CMA-ES,3,4,3,186245.46666666667,413.0769230769231,450.87356921166975
BIPOP-CMA-ES,3,4,5,76546.8947368421,734.4285714285714,104.22646628241485
BIPOP-CMA-ES,3,4,10,inf,1869.25,1000000.0
BIPOP-CMA-ES,3,5,2,3518.133333333333,233.5,15.066952177016416
BIPOP-CMA-ES,3,5,3,2755.6666666666665,413.0769230769231,6.671073867163252
BIPOP-CMA-ES,3,5,5,inf,734.4285714285714,1000000.0
BIPOP-CMA-ES,3,5,10,2574549.9285714286,1869.25,1377.3170675786698
BIPOP-CMA-ES,4,1,2,60224.42857142857,155.0,388.5447004608295
BIPOP-CMA-ES,4,1,3,inf,1604.0666666666666,1000000.0
BIPOP-CMA-ES,4,1,5,inf,3494.625,1000000.0
BIPOP-CMA-ES,4,1,10,inf,7937.846153846154,1000000.0
BIPOP-CMA-ES,4,2,2,46797.666666666664,155.0,301.92043010752684
BIPOP-CMA-ES,4,2,3,inf,1604.0666666666666,1000000.0
BIPOP-CMA-ES,4,2,5,inf,3494.625,1000000.0
BIPOP-CMA-ES,4,2,10,inf,7937.846153846154,1000000.0
BIPOP-CMA-ES,4,3,2,40278.7,155.0,259.86258064516124
BIPOP-CMA-ES,4,3,3,inf,1604.0666666666666,1000000.0
BIPOP-CMA-ES,4,3,5,inf,3494.625,1000000.0
BIPOP-CMA-ES,4,3,10,inf,7937.846153846154,1000000.0
BIPOP-CMA-ES,4,4,2,140549.7894736842,155.0,906.7728353140917
BIPOP-CMA-ES,4,4,3,585474.9411764706,1604.0666666666666,364.99414478396824
BIPOP-CMA-ES,4,4,5,inf,3494.625,1000000.0
BIPOP-CMA-ES,4,4,10,inf,7937.846153846154,1000000.0
BIPOP-CMA-ES,4,5,2,19728.2,155.0,127.27870967741936
BIPOP-CMA-ES,4,5,3,inf,1604.0666666666666,1000000.0
BIPOP-CMA-ES,4,5,5,inf,3494.625,1000000.0
BIPOP-CMA-ES,4,5,10,inf,7937.846153846154,1000000.0
BIPOP-CMA-ES,5,1,2,90.0,3.0,30.0
BIPOP-CMA-ES,5,1,3,165.0,11.0,15.0
BIPOP-CMA-ES,5,1,5,150.0,20.0,7.5
BIPOP-CMA-ES,5,1,10,744.0,30.0,24.8
BIPOP-CMA-ES,5,2,2,10.0,3.0,3.3333333333333335
BIPOP-CMA-ES,5,2,3,190.0,11.0,17.272727272727273
BIPOP-CMA-ES,5,2,5,265.0,20.0,13.25
